01/20/2020	0
01/21/2020	0
01/22/2020	1
01/23/2020	1
01/24/2020	1
01/25/2020	1
01/26/2020	1
01/27/2020	1
01/28/2020	1
01/29/2020	1
01/30/2020	1
01/31/2020	1
02/01/2020	1
02/02/2020	1
02/03/2020	1
02/04/2020	1
02/05/2020	1
02/06/2020	1
02/07/2020	2
02/08/2020	2
02/09/2020	2
02/10/2020	2
02/11/2020	2
02/12/2020	2
02/13/2020	2
02/14/2020	2
02/15/2020	2
02/16/2020	2
02/17/2020	2
02/18/2020	2
02/19/2020	2
02/20/2020	2
02/21/2020	2
02/22/2020	2
02/23/2020	2
02/24/2020	2
02/25/2020	2
02/26/2020	2
02/27/2020	2
02/28/2020	9
02/29/2020	18
03/01/2020	30
03/02/2020	34
03/03/2020	58
03/04/2020	76
03/05/2020	97
03/06/2020	151
03/07/2020	183
03/08/2020	250
03/09/2020	350
03/10/2020	399
03/11/2020	483
03/12/2020	553
03/13/2020	704
03/14/2020	808
03/15/2020	941
03/16/2020	1070
03/17/2020	1243
03/18/2020	1418
03/19/2020	1567
03/20/2020	1808
03/21/2020	2047
03/22/2020	2289
03/23/2020	2501
03/24/2020	2882
03/25/2020	3344
03/26/2020	3828
03/27/2020	4312
03/28/2020	4744
03/29/2020	5128
03/30/2020	5597
03/31/2020	6057
04/01/2020	6548
04/02/2020	6901
04/03/2020	7432
04/04/2020	7800
04/05/2020	8189
04/06/2020	8531
04/07/2020	8867
04/08/2020	9222
04/09/2020	9500
04/10/2020	9949
04/11/2020	10170
04/12/2020	10406
04/13/2020	10595
04/14/2020	10797
04/15/2020	11108
04/16/2020	11351
04/17/2020	11681
04/18/2020	11894
04/19/2020	12153
04/20/2020	12351
04/21/2020	12539
04/22/2020	12764
04/23/2020	12973
04/24/2020	13257
04/25/2020	13471
04/26/2020	13686
04/27/2020	
04/28/2020	
04/29/2020	
04/30/2020	
05/01/2020	
